Страна;Заболели;Умерли;Вылечились;Активные случаи
США;45050910;726196;0;-1
Индия;34094373;452454;0;33641919
Бразилия;21651910;603465;0;21048445
Великобритания;8510198;138729;0;-1
Россия;8060752;225325;7040481;794946
Турция;7683487;67837;0;7615650
Франция;6936255;115175;0;-1
Иран;5796659;124256;0;5672403
Аргентина;5273463;115704;0;5157759
Испания;4988878;87030;0;-1
Колумбия;4982575;126886;0;4855689
Италия;4719493;131585;0;4587908
Германия;4388581;94720;0;4293861
Индонезия;4235384;142999;0;4092385
Мексика;3758469;284477;0;3473992
Польша;2941126;76115;0;2865011
ЮАР;2916803;88619;0;2828184
Украина;2767743;64797;0;2702946
Филиппины;2727286;40761;0;2686525
Малайзия;2396121;27993;0;2368128
Перу;2190396;199882;0;1990514
Нидерланды;2053406;18269;0;-1
Ирак;2037012;22785;0;2014227
Таиланд;1793812;18336;0;1775476
Япония;1715745;18129;0;1697616
Чехия;1709716;30554;0;1679162
Канада;1693364;28616;0;1664748
Чили;1672065;37620;0;1634445
Бангладеш;1565827;27778;0;1538049
Румыния;1467401;42042;0;1425359
Израиль;1317758;8010;0;1309748
Бельгия;1289033;25780;0;-1
Пакистан;1265650;28300;0;1237350
Швеция;1161933;14956;0;-1
Португалия;1080097;18100;0;1061997
Сербия;1055296;9157;0;-1
Казахстан;997537;16713;0;980824
Марокко;942280;14561;0;927719
Куба;936809;8079;0;928730
Вьетнам;867221;21269;0;845952
Швейцария;856957;11162;0;845795
Иордания;843204;10887;0;832317
Венгрия;836389;30402;0;805987
Непал;805560;11293;0;794267
Австрия;777679;11180;0;766499
ОАЭ;738690;2120;0;736570
Тунис;710953;25100;0;685853
Греция;697033;15418;0;681615
Грузия;664813;9510;0;655303
Ливан;634209;8430;0;625779
Гватемала;588262;14387;0;573875
Белоруссия;573943;4417;0;569526
Коста-Рика;552953;6857;0;546096
Саудовская Аравия;547969;8765;0;539204
Болгария;545598;22488;0;523110
Шри-Ланка;532218;13507;0;518711
Эквадор;513026;32899;0;480127
Боливия;507134;18834;0;488300
Азербайджан;503452;6778;0;496674
Мьянма;488875;18388;0;470487
Панама;470395;7294;0;463101
Парагвай;460553;16228;0;444325
Палестинские территории;448322;4585;0;443737
Словакия;437938;12854;0;425084
Хорватия;428233;8907;0;419326
Ирландия;416690;5306;0;411384
Кувейт;412371;2458;0;409913
Венесуэла;394061;4734;0;389327
Уругвай;391167;6069;0;385098
Гондурас;372179;10096;0;362083
Доминиканская Республика;371447;4090;0;367357
Литва;370119;5456;0;364663
Дания;369403;2688;0;366715
Эфиопия;359495;6238;0;353257
Ливия;350628;4904;0;345724
Южная Корея;344518;2689;0;341829
Монголия;340839;1574;0;339265
Египет;319339;18015;0;301324
Молдова;317899;7273;0;310626
Словения;308501;4641;0;303860
Оман;304066;4106;0;299960
Армения;283183;5805;0;277378
Бахрейн;276188;1391;0;274797
Кения;252066;5224;0;246842
Босния и Герцеговина;245082;11201;0;233881
Катар;237996;608;0;237388
Замбия;209536;3658;0;205878
Нигерия;209387;2838;0;206549
Алжир;205364;5873;0;199491
Северная Македония;197197;6964;0;190233
Норвегия;196896;884;0;196012
Латвия;186869;2897;0;183972
Ботсвана;184051;2389;0;181662
Узбекистан;181312;1290;0;180022
Киргизия;179913;2636;0;177277
Албания;178188;2829;0;175359
Эстония;173335;1429;0;171906
Косово;160541;2973;0;157568
Афганистан;155776;7246;0;148530
Финляндия;151207;1120;0;150087
Мозамбик;151112;1927;0;149185
Сингапур;150731;239;0;150492
Австралия;147301;1558;0;145743
Черногория;138047;2036;0;136011
Зимбабве;132368;4658;0;127710
Гана;129440;1167;0;128273
Намибия;128353;3540;0;124813
Уганда;125261;3185;0;122076
Кипр;122362;565;0;121797
Камбоджа;116860;2670;0;114190
Сальвадор;110188;3490;0;106698
Китай;108947;4849;0;104098
Руанда;99181;1313;0;97868
Камерун;98402;1550;0;96852
Ямайка;87586;2117;0;85469
Мальдивы;86211;238;0;85973
Люксембург;79982;839;0;79143
Сенегал;73873;1871;0;72002
Ангола;63012;1670;0;61342
Малави;61726;2294;0;59432
Кот-д’Ивуар;61072;685;0;60387
Конго - Киншаса;57338;1091;0;56247
Тринидад и Тобаго;54267;1605;0;52662
Реюньон;54024;370;0;53654
Гваделупа;53836;800;0;53036
Фиджи;51846;663;0;51183
Суринам;46996;1029;0;45967
Эсватини;46371;1235;0;45136
Французская Полинезия;45439;635;0;44804
Мадагаскар;43616;960;0;42656
Французская Гвиана;43255;293;0;42962
Мартиника;42269;656;0;41613
Судан;39839;3038;0;36801
Сирия;39488;2429;0;37059
Кабо-Верде;38049;347;0;37702
Мальта;37464;459;0;37005
Мавритания;36722;789;0;35933
Гайана;34514;875;0;33639
Габон;33842;218;0;33624
Лаос;32314;40;0;32274
Гвинея;30572;385;0;30187
Танзания;26034;724;0;25310
Того;25903;239;0;25664
Папуа — Новая Гвинея;24857;309;0;24548
Бенин;24560;161;0;24399
Белиз;24447;465;0;23982
Гаити;23042;657;0;22385
Багамы;21978;626;0;21352
Сейшельские Острова;21947;119;0;21828
Лесото;21530;655;0;20875
Сомали;21269;1180;0;20089
Бурунди;19730;38;0;19692
Восточный Тимор;19725;119;0;19606
Таджикистан;17484;125;0;17359
Кюрасао;16936;172;0;16764
Маврикий;16669;134;0;16535
Тайвань;16337;846;0;15491
Конго - Браззавиль;15962;231;0;15731
Никарагуа;15737;206;0;15531
Аруба;15732;170;0;15562
Мали;15643;557;0;15086
Андорра;15367;130;0;15237
Буркина-Фасо;14752;203;0;14549
Джибути;13415;181;0;13234
Барбадос;13171;119;0;13052
Экваториальная Гвинея;13020;161;0;12859
Исландия;12614;33;0;12581
Сент-Люсия;12234;237;0;11997
Южный Судан;12225;130;0;12095
ЦАР;11478;100;0;11378
Бруней-Даруссалам;11047;76;0;10971
Новая Каледония;10070;242;0;9828
Гамбия;9946;339;0;9607
Йемен;9556;1807;0;7749
о-в Мэн;8647;56;0;8591
Эритрея;6776;45;0;6731
Сьерра-Леоне;6397;121;0;6276
Нигер;6177;205;0;5972
Гвинея-Бисау;6130;141;0;5989
Либерия;5807;286;0;5521
Гибралтар;5769;98;0;5671
Гренада;5769;193;0;5576
Бермудские о-ва;5567;95;0;5472
Сан-Марино;5475;91;0;5384
Новая Зеландия;5154;28;0;5126
Чад;5069;174;0;4895
Сент-Винсент и Гренадины;4627;53;0;4574
Синт-Мартен;4448;73;0;4375
Коморы;4190;147;0;4043
Доминика;4153;28;0;4125
Антигуа и Барбуда;3918;95;0;3823
Сен-Мартен;3878;55;0;3823
Сан-Томе и Принсипи;3677;56;0;3621
Лихтенштейн;3589;60;0;3529
Монако;3363;35;0;3328
о-ва Тёркс и Кайкос;2926;23;0;2903
Виргинские о-ва;2725;37;0;2688
Бутан;2617;3;0;2614
Сент-Китс и Невис;2556;21;0;2535
Сен-Бартелеми;1658;6;0;1652
Фарерские о-ва;1350;2;0;1348
Острова Кайман;1011;2;0;1009
Лайнер «Даймонд Принсесс»;712;13;0;699
Ангилья;698;1;0;697
Гренландия;654;0;0;654
Фолклендские о-ва;68;0;0;68
Монтсеррат;41;1;0;40
Сен-Пьер и Микелон;32;0;0;32
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;8;0;0;8
Вануату;4;1;0;3
Маршалловы Острова;4;0;0;4
